"","t","k","mean_ER"
"332",4,105,-0.00628086144442203
"333",4,106,-0.006516106598996
"334",4,107,-0.00673489080574385
"335",4,108,-0.0059195546392894
"336",4,109,-0.00577303900523504
"337",4,110,-0.00572607460385736
"338",4,111,-0.00589664798648458
"339",4,112,-0.00500733815664106
"340",4,113,-0.00491223689301797
"341",4,114,-0.00493970208405389
"342",4,115,-0.0050402680106439
"343",4,116,-0.00477149242615076
"344",4,117,-0.00428839910604397
"345",5,32,-0.00484823589901994
"346",5,33,-0.00447347865953364
"347",5,34,-0.00454075025003668
"348",5,35,-0.00319196177147815
"349",5,36,-0.00270423629965746
"350",5,37,-0.00257451242783589
"351",5,38,-0.00233093560986049
"352",5,39,-0.00332202586089873
"353",5,40,-0.0010883950210201
"354",5,41,-0.00259050690146507
"355",5,42,-0.00281018259801391
"356",5,43,-0.00269774831895519
"357",5,44,-0.00271630126626255
"358",5,45,-0.00322005605398068
"359",5,46,-0.00335880160384053
"360",5,47,-0.00413125787026972
"361",5,48,-0.00431462671108002
"362",5,49,-0.00400949764895341
"363",5,50,-0.00350009031602257
"364",5,51,-0.00365584619781504
"365",5,52,-0.0037106073232651
"366",5,53,-0.0038414395130079
"367",5,54,-0.00484649313979389
"368",5,55,-0.00524402062311114
"369",5,56,-0.00422743158912202
"370",5,57,-0.00437503185564899
"371",5,58,-0.0050760501116832
"372",5,59,-0.00330080276414757
"373",5,60,-0.00425483405672986
"374",5,61,-0.00571996218829602
"375",5,62,-0.00524907968084296
"376",5,63,-0.00538707803954223
"377",5,64,-0.00478964881933884
"378",5,65,-0.00459741230759863
"379",5,66,-0.00513413405831825
"380",5,67,-0.00540260024841374
"381",5,68,-0.00491585087425407
"382",5,69,-0.00488059943379554
"383",5,70,-0.00548567475587935
"384",5,71,-0.00586889564830349
"385",5,72,-0.0060166424562909
"386",5,73,-0.00568873065103267
"387",5,74,-0.00593716333451916
"388",5,75,-0.0066320910134883
"389",5,76,-0.00684473217497179
"390",5,77,-0.00672392434201421
"391",5,78,-0.00633746829441487
"392",5,79,-0.00660159673796574
"393",5,80,-0.00586560429618198
"394",5,81,-0.00608758996711072
"395",5,82,-0.00645733453579209
"396",5,83,-0.00581981093552268
"397",5,84,-0.00587405738953414
"398",5,85,-0.00526318632983676
"399",5,86,-0.00530736615206549
"400",5,87,-0.00526849180660772
"401",5,88,-0.00470088979213356
"402",5,89,-0.00487961729228217
"403",5,90,-0.00486438992774132
"404",5,91,-0.00497669661364285
"405",5,92,-0.00472409802468188
"406",5,93,-0.00500279305185079
"407",5,94,-0.00511612441020583
"408",5,95,-0.00531609070309761
"409",5,96,-0.00594554651076179
"410",5,97,-0.00599682424869683
"411",5,98,-0.00618292127363561
"412",5,99,-0.00694170428709279
"413",5,100,-0.00602330060948866
"414",5,101,-0.00571587330443638
"415",5,102,-0.00580984287580063
"416",5,103,-0.00556654356051248
"417",5,104,-0.00588975877323712
"418",5,105,-0.00605440938295666
"419",5,106,-0.00595244346711614
"420",5,107,-0.00505638272695489
"421",5,108,-0.0056387015428992
"422",5,109,-0.00543069332551173
"423",5,110,-0.00536916383976061
"424",5,111,-0.00479571563081854
"425",5,112,-0.00491470100481569
"426",5,113,-0.00550757899424046
"427",5,114,-0.00510785315309517
"428",5,115,-0.00475055148645576
"429",5,116,-0.00461185412109524
"430",5,117,-0.00442575828852988
"431",6,32,-0.008238388449891
"432",6,33,-0.00741107877094756
"433",6,34,-0.00436022009469742
"434",6,35,-0.00587296179978036
"435",6,36,-0.0047257766598391
"436",6,37,-0.00421468035043564
"437",6,38,-0.00355771406591381
"438",6,39,-0.00356996649113746
"439",6,40,-0.00220742303006016
"440",6,41,-0.00426635624859853
"441",6,42,-0.0042617752295268
"442",6,43,-0.00364385711139066
"443",6,44,-0.00425356136920685
"444",6,45,-0.00453993663514193
"445",6,46,-0.00557412917490068
"446",6,47,-0.00548460276530545
"447",6,48,-0.00547299308439388
"448",6,49,-0.005265289262338
"449",6,50,-0.00554712141726027
"450",6,51,-0.00520839860056268
"451",6,52,-0.00526898000643393
"452",6,53,-0.00522630645822281
"453",6,54,-0.00566003441076587
"454",6,55,-0.00505733419137396
"455",6,56,-0.00568069126426389
"456",6,57,-0.0053795231581171
"457",6,58,-0.00589766956590442
"458",6,59,-0.00474593395864406
"459",6,60,-0.00593446845258926
"460",6,61,-0.00620460314903941
"461",6,62,-0.00636183057774146
"462",6,63,-0.00678587049899217
"463",6,64,-0.00631678874697774
"464",6,65,-0.00551850835025671
"465",6,66,-0.00626598161645977
"466",6,67,-0.00661198473483859
"467",6,68,-0.00673484738397899
"468",6,69,-0.00676196030178732
"469",6,70,-0.00648890606429545
"470",6,71,-0.00629559966118261
"471",6,72,-0.00664619041785188
"472",6,73,-0.00677831366749691
"473",6,74,-0.00687931832203461
"474",6,75,-0.00755680524159862
"475",6,76,-0.00767685994450359
"476",6,77,-0.0071295074150789
"477",6,78,-0.00671067931671618
"478",6,79,-0.00643440216112163
"479",6,80,-0.00594480276394806
"480",6,81,-0.00577623430340093
"481",6,82,-0.00603168842252384
"482",6,83,-0.0058976195343602
"483",6,84,-0.00586283776599777
"484",6,85,-0.00627612714131922
"485",6,86,-0.00608085400072586
"486",6,87,-0.00593786564592952
"487",6,88,-0.00556688127472496
"488",6,89,-0.0060100796870053
"489",6,90,-0.00544589910212288
"490",6,91,-0.00572355943742025
"491",6,92,-0.00524342496192256
"492",6,93,-0.00548240304451062
"493",6,94,-0.00558996062243953
"494",6,95,-0.00629664663757152
"495",6,96,-0.00692429166563746
"496",6,97,-0.00719489967656612
"497",6,98,-0.00731745477875246
"498",6,99,-0.00695343395508996
"499",6,100,-0.00674122604686461
"500",6,101,-0.00646707344541758
"501",6,102,-0.00631539223882138
"502",6,103,-0.00687139772938048
"503",6,104,-0.00708073141298638
"504",6,105,-0.00691760326485496
"505",6,106,-0.00648541748051282
"506",6,107,-0.00638226512279866
"507",6,108,-0.00658366839776657
"508",6,109,-0.00673224534065647
"509",6,110,-0.00597266023076772
"510",6,111,-0.00637655106017391
"511",6,112,-0.00608449914491473
"512",6,113,-0.00583130316421543
"513",6,114,-0.00526575593781506
"514",6,115,-0.00513607084306958
"515",6,116,-0.00500170187834369
"516",6,117,-0.00465815585412811
"517",7,32,-0.00249971191372821
"518",7,33,-0.00159252621365336
"519",7,34,-0.00284175695653706
"520",7,35,-0.00117538644710772
"521",7,36,-0.000660647472337373
"522",7,37,-0.000373633667029542
"523",7,38,-0.0013655009901142
"524",7,39,-0.00227124940872703
"525",7,40,-0.00346969719135992
"526",7,41,-0.00335326253782159
"527",7,42,-0.00415140597661038
"528",7,43,-0.00423315997289916
"529",7,44,-0.00344563519929505
"530",7,45,-0.00360875726388873
"531",7,46,-0.00279068339583106
"532",7,47,-0.00343890789264694
"533",7,48,-0.0044160261706225
"534",7,49,-0.00405419853239413
"535",7,50,-0.00274759419223375
"536",7,51,-0.00361927180038721
"537",7,52,-0.00344656427991481
"538",7,53,-0.00400967757495952
